image_path,d_train,match_train,d_val,match_val,d_test,match_test,d_any,class_name,brisc_split,plane,clean_vs_train,clean_vs_any
classification_task/test/glioma/brisc2025_test_00001_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_219.jpg,14,data\brain_tumor\glioma\Tr-gl_1229.jpg,14,data\brain_tumor\notumor\Te-no_177.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00002_gl_ax_t1.jpg,10,data\brain_tumor\pituitary\Te-pi_49.jpg,0,data\brain_tumor\glioma\Te-gl_116.jpg,14,data\brain_tumor\glioma\Tr-gl_419.jpg,0,glioma,test,axial,True,False
classification_task/test/glioma/brisc2025_test_00003_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_385.jpg,10,data\brain_tumor\glioma\Tr-gl_1089.jpg,10,data\brain_tumor\meningioma\Tr-me_687.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00004_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_298.jpg,10,data\brain_tumor\glioma\Te-gl_256.jpg,14,data\brain_tumor\meningioma\Te-me_69.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00005_gl_ax_t1.jpg,8,data\brain_tumor\glioma\Tr-gl_907.jpg,0,data\brain_tumor\glioma\Te-gl_256.jpg,14,data\brain_tumor\glioma\Tr-gl_861.jpg,0,glioma,test,axial,True,False
classification_task/test/glioma/brisc2025_test_00006_gl_ax_t1.jpg,10,data\brain_tumor\glioma\Tr-gl_994.jpg,10,data\brain_tumor\glioma\Tr-gl_782.jpg,0,data\brain_tumor\glioma\Te-gl_88.jpg,0,glioma,test,axial,True,False
classification_task/test/glioma/brisc2025_test_00007_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_34.jpg,14,data\brain_tumor\meningioma\Tr-aug-me_76.jpg,14,data\brain_tumor\glioma\Tr-gl_1215.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00008_gl_ax_t1.jpg,12,data\brain_tumor\glioma\Te-gl_348.jpg,12,data\brain_tumor\glioma\Tr-gl_214.jpg,0,data\brain_tumor\glioma\Te-gl_9.jpg,0,glioma,test,axial,True,False
classification_task/test/glioma/brisc2025_test_00009_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_179.jpg,12,data\brain_tumor\meningioma\Te-aug-me_36.jpg,12,data\brain_tumor\meningioma\Te-aug-me_56.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00010_gl_ax_t1.jpg,10,data\brain_tumor\meningioma\Te-me_85.jpg,0,data\brain_tumor\glioma\Te-gl_146.jpg,12,data\brain_tumor\glioma\Tr-gl_467.jpg,0,glioma,test,axial,True,False
classification_task/test/glioma/brisc2025_test_00011_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_200.jpg,10,data\brain_tumor\glioma\Tr-gl_455.jpg,12,data\brain_tumor\meningioma\Tr-aug-me_29.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00012_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_320.jpg,14,data\brain_tumor\glioma\Tr-gl_1007.jpg,14,data\brain_tumor\glioma\Tr-gl_830.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00013_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_216.jpg,14,data\brain_tumor\meningioma\Tr-me_584.jpg,14,data\brain_tumor\glioma\Te-gl_184.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00014_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_374.jpg,16,data\brain_tumor\glioma\Tr-gl_1152.jpg,12,data\brain_tumor\meningioma\Tr-me_366.jpg,0,glioma,test,axial,False,False
classification_task/test/glioma/brisc2025_test_00015_gl_ax_t1.jpg,0,data\brain_tumor\glioma\Te-gl_152.jpg,10,data\brain_tumor\glioma\Tr-gl_127.jpg,12,data\brain_tumor\meningioma\Te-me_140.jpg,0,glioma,test,axial,False,False
